question,answer
"hello","Welcome to TechHub Support! How can I assist you with your shopping today?"
"hi","Hi there! Looking for a new gadget or need help with an order?"
"hey","Hello! I am your TechHub AI assistant. Ask me anything."
"bye","Thank you for choosing TechHub. Have a great day!"
"thank you","You are very welcome! Let me know if you need anything else."
"what is techhub?","TechHub is a premium online store for laptops, mobiles, and smart gadgets."
"where is your store?","Our main showroom is located in Ahmedabad, Gujarat, but we ship all over India."
"store hours","We are open Monday to Saturday from 10:00 AM to 8:00 PM."
"contact support","You can call us at 1800-123-4567 or email support@techhub.com."
"where is my order?","You can track your order status by visiting the 'My Orders' section on our website."
"how to track order","Go to the 'Track Order' link at the top of our homepage and enter your Order ID."
"delivery time","Standard delivery takes 3-5 business days depending on your location."
"fast delivery","We offer Express Delivery (24-48 hours) for select metro cities at an extra cost."
"international shipping","Currently, we only ship within India. We plan to expand globally soon!"
"shipping cost","Shipping is free for orders above ₹500. For orders below that, a flat fee of ₹50 applies."
"payment methods","We accept UPI, Credit Cards, Debit Cards, Net Banking, and Cash on Delivery (COD)."
"cod available","Yes, Cash on Delivery is available for orders up to ₹10,000."
"is it safe","Yes, all payments are processed through a secure, encrypted gateway."
"emi options","Yes, we offer No-Cost EMI on major credit cards for orders above ₹5,000."
"return policy","We offer a 7-day hassle-free return policy for defective or damaged products."
"how to return","To initiate a return, go to 'My Orders' > 'Select Item' > 'Return' and state your reason."
"refund time","Refunds are processed within 5-7 business days after we receive the returned item."
"exchange policy","You can exchange a product for a different color or model within 7 days of delivery."
"cancel order","You can cancel your order before it is shipped from the 'My Orders' section."
"laptop warranty","All laptops come with a standard 1-year manufacturer warranty."
"mobile warranty","Mobile phones have a 1-year warranty on the device and 6 months on accessories."
"extended warranty","Yes, you can purchase an extended warranty plan at the checkout page."
"refurbished items","We have a separate section for 'Certified Refurbished' products with a 6-month warranty."
"stock availability","If a product is out of stock, click 'Notify Me' to get an alert when it returns."
"reset password","Click on 'Forgot Password' on the login page and follow the link sent to your email."
"guest checkout","Yes, you can checkout as a guest, but creating an account helps you track orders easily."
"discount codes","Check our homepage for the latest festival offers and discount coupons!"
